THCIC_ID	PROVIDER_NAME	FAC_TEACHING_IND	FAC_PSYCH_IND	FAC_REHAB_IND	FAC_ACUTE_CARE_IND	FAC_SNF_IND	FAC_LONG_TERM_AC_IND	FAC_OTHER_LTC_IND	FAC_PEDS_IND	FAC_CARDIOVASCULAR_IND	FAC_CHIROPRACTIC_IND	FAC_ENDOSCOPY_IND	FAC_FOOT_IND	FAC_GASTROENTEROLOGY_IND	FAC_GENERAL_IND	FAC_OB_GYN_IND	FAC_OPTHAMOLOGY_IND	FAC_ORAL_IND	FAC_ORTHOPEDIC_IND	FAC_OTOLARYRGOLOGY_IND	FAC_PAIN_MNGMT_IND	FAC_PLASTIC_IND	FAC_THORACIC_IND	FAC_UROLOGY_IND	FAC_OTHER_IND	FAC_OTHER_LTC_IND	POA_PROVIDER_INDICATOR	CERT_STATUS_IP	CERT_STATUS_OP	
140002	Edinburg Regional Medical Center			X	X				X			X		X	X	X	X		X	X	X	X	X		X	X	M	1	1
141000	Navarro Regional Hospital				X							X	X	X	X		X	X	X	X	X	X					R	1	1
142000	Methodist Charlton Medical Center	X			X					X		X		X	X	X	X	X		X	X		X		X	X	R	1	1
143000	Childrens Medical Center-Dallas	A	X	X	X				C	X		X		X		X		X	X	X	X	X	X	X	X	X	X	1	1
143001	Childrens Medical Center Plano	X	X	X					X	X		X		X		X		X	X	X	X	X	X	X	X	X	X	1	1
144000	Wadley Regional Medical Center				X				X	X		X	X	X	X	X	X			X	X	X	X	X	X		M	1	1
145000	University Medical Center	A		X	X	X			X						X												M	2	2
146000	Covenant Hospital-Plainview			X	X					X		X	X	X	X	X	X	X	X	X	X	X		X	X	X	M	1	1
147000	Lillian M Hudspeth Memorial Hospital				X										X												X	1	1
151000	North Runnels Hospital				X										X												X	1	1
154000	Methodist Hospital			X	X				C						X												M	1	1
154001	Methodist Specialty & Transplant Hospital		X	X	X										X												M	7	7
154002	Northeast Methodist Hospital				X										X												R	1	1
154003	Methodist Texsan Hospital				X					X					X					X						X	R	7	7
155000	Guadalupe Regional Medical Center			X	X				X	X		X	X	X	X	X	X	X	X	X	X	X	X		X	X	R	1	1
156000	Dimmit Regional Hospital				X										X		X		X								R	1	1
158000	University Hospital	A	X	X	X				X						X												M	1	1
159000	Cochran Memorial Hospital				X										X												X	1	1
164000	TIRR Memorial Hermann			X												X										X	X	1	1
168000	Shannon West Texas Memorial Hospital				X					X		X	X	X	X	X	X	X	X	X	X	X	X	X	X		M	1	1
172000	Memorial Hermann Northwest Hospital			X	X					X		X	X	X	X	X	X		X	X	X	X	X	X	X	X	M	1	1
176000	Crosbyton Clinic Hospital				X	X									X												X	1	1
178000	Sweeny Community Hospital				X	X						X			X							X				X	X	1	1
180000	Las Palmas Medical Center				X					X		X	X	X	X	X	X	X	X	X		X	X		X		R	1	1
181000	Medical Center Hospital	X			X		X			X		X	X	X	X	X	X	X	X	X	X	X	X	X	X		M	1	1
182000	Texas Health Harris Methodist HEB		X	X	X					X		X	X	X	X	X	X	X	X	X	X	X		X	X	X	R	2	2
187000	Permian Regional Medical Center				X	X									X		X										R	1	1
192000	Lynn County Hospital District				X	X									X												X	1	1
193000	Clay County Memorial Hospital				X	X									X											X	X	1	1
195000	Collingsworth General Hospital				X	X									X												X	1	1
199000	Memorial Hospital				X										X												X	1	1
200000	Parmer Medical Center				X	X									X												X	1	1
202000	Concho County Hospital				X										X												X	1	1
205000	Kimble Hospital				X	X			X			X															X	1	1
206100	Baylor Scott & White Hospital College Station				X				X	X		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	R	7	7
207001	Laredo Medical Center				X										X												M	1	1
208100	The Heart Hospital Baylor Denton				X					X			X											X			R	2	2
212000	Clear Lake Regional Medical Center				X					X		X		X	X	X	X	X	X	X	X	X	X	X	X		M	1	1
214000	Medical Center-Plano	X			X					X	X	X		X	X	X	X	X	X	X	X		X	X		X	M	1	1
216001	CHRISTUS Spohn Hospital-Kleberg				X				X			X	X	X	X		X	X		X					X		R	1	1
217000	Lamb Healthcare Center				X	X			X						X		X									X	R	1	2
219000	Hill Country Memorial Hospital				X					X		X		X	X	X	X	X	X	X	X	X	X	X	X	X	R	1	1
221000	Scenic Mountain Medical Center				X				X	X		X	X		X		X			X		X			X	X	M	1	1
222000	Eastland Memorial Hospital				X	X							X	X	X			X			X						R	1	1
228001	Southwest General Hospital				X										X												M	1	1
229000	Houston Northwest Medical Center				X					X		X					X									X	M	1	1
230000	Oakbend Medical Center				X	X			X	X		X		X	X		X			X	X				X	X	R	1	1
230001	Oakbend Medical Center				X	X			X	X		X		X	X		X			X	X				X	X	R	1	1
234000	Ballinger Memorial Hospital District				X										X												X	1	1
235000	Texas Health Harris Methodist Hospital-Fort Worth				X					X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	M	2	2
239001	Care Regional Medical Center				X							X														X	R	1	1
240000	McCamey Hospital				X										X												X	1	1
246000	Columbia Medical Center-McKinney				X					X		X		X	X	X	X	X		X	X			X	X	X	R	1	1
248000	East Texas Medical Center Henderson				X	X			X			X	X	X	X		X			X		X				X	M	1	1
254001	Wise Health System		X	X	X				X	X		X		X	X		X	X		X		X			X	X	R	2	2
255000	Methodist Dallas Medical Center	A			X	X			X	X		X	X	X	X	X	X	X		X	X	X	X	X	X	X	M	1	1
256000	Texas Health Harris Methodist Hospital-Stephenville				X				X	X		X	X	X	X	X	X	X	X	X	X						R	2	2
258000	Iraan General Hospital			X	X										X												X	1	1
260000	Plains Memorial Hospital				X	X									X												X	1	1
262000	Coon Memorial Hospital & Home				X							X			X		X			X							X	1	1
263000	University Medical Center of El Paso	X		X	X					X		X		X	X	X	X			X		X				X	R	2	2
266000	The Hospitals of Providence Sierra Campus			X	X					X		X	X	X	X	X	X	X		X	X	X	X	X	X		M	1	1
273000	Swisher Memorial Hospital				X	X																				X	X	1	1
283000	Metropolitan Methodist Hospital				X										X												R	1	1
285000	Baylor Scott & White Medical Center Waxahachie				X	X									X												M	2	2
286000	Christus Mother Frances Hospital Tyler				X					X		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	R	1	1
287000	East Texas Medical Center-Trinity				X										X		X										R	1	1
290000	Rankin County Hospital District				X										X												X	1	1
294000	Hamilton Hospital				X										X												X	1	1
297000	Wilson N Jones Regional Medical Center	X	X		X					X		X	X	X	X	X	X	X	X	X	X	X		X	X	X	M	6	6
297002	Wilson N Jones Regional Medical Center Behavioral Healt		X																								X	6	8
298000	North Texas Medical Center			X	X				X	X		X	X	X	X		X	X		X	X	X	X				R	1	1
299001	CHRISTUS Hospital-St Mary				X					X		X		X	X		X			X		X			X	X	R	7	7
300000	Baylor Scott & White Medical Center-Irving				X										X												M	2	2
301000	Doctors Hospital-Laredo				X					X		X		X	X	X	X	X	X	X	X		X		X	X	M	1	1
302000	Memorial Hermann Memorial City Medical Center				X					X		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	R	1	1
303000	Texas Health Presbyterian Hospital-Kaufman				X				X	X		X	X		X		X		X	X		X			X	X	R	2	2
305000	Hamlin Memorial Hospital				X	X																				X	R	1	1
307000	Covenant Hospital-Levelland			X	X				X	X		X	X	X	X	X	X	X	X	X	X	X		X	X	X	R	1	1
314001	Valley Baptist Medical Center-Brownsville				X	X			X	X		X	X	X	X	X	X	X	X	X	X		X	X	X	X	R	1	1
315003	Dallas Regional Medical Center				X					X		X	X	X	X	X	X			X	X		X		X		R	1	1
318000	Northwest Texas Hospital	X	X	X	X				X						X												M	1	1
319000	Del Sol Medical Center				X					X		X	X	X	X	X	X		X	X	X	X	X		X		M	1	1
323000	Texas Health Harris Methodist Hospital Cleburne			X	X				X	X		X	X	X	X	X	X		X	X			X		X	X	M	2	2
331000	Baylor University Medical Center	A			X					X		X		X	X	X	X	X		X	X	X	X	X	X	X	R	2	2
332000	Cook Childrens Medical Center								C						X												X	2	2
334002	South Texas Regional Medical Center				X	X				X		X	X	X	X		X	X	X			X			X	X	M	1	1
335000	University Medical Center-Brackenridge				X					X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	M	2	2
336001	Denton Regional Medical Center				X										X												M	1	1
337001	West Houston Medical Center				X										X												M	1	1
339001	CHRISTUS Santa Rosa Medical Center		X		X								X		X					X	X	X	X		X		R	1	1
339002	CHRISTUS Santa Rosa Hospital-Westover Hills			X	X								X		X					X	X	X	X		X		R	1	1
340000	Medical City Dallas Hospital				X				C	X		X		X	X	X	X			X	X	X	X	X	X	X	M	1	1
341000	Medical Arts Hospital			X	X	X			X	X			X							X					X	X	R	2	2
343000	Reagan Memorial Hospital				X										X												X	1	1
346000	Coryell Memorial Hospital			X	X	X				X		X	X	X	X							X					M	2	1
347000	Memorial Hermann Hospital	A		X	X				C	X		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	M	1	1
348000	Nocona General Hospital				X										X												R	1	1
349001	Bayshore Medical Center		X	X	X					X		X	X	X	X	X	X	X		X	X			X		X	M	1	1
355000	Fisher County Hospital District				X	X									X												X	1	1
356000	Pecos County Memorial Hospital				X							X			X		X					X					R	1	1
357000	Otto Kaiser Memorial Hospital			X	X							X			X		X										X	1	1
362000	Heart of Texas Healthcare System				X										X												X	1	1
363000	Baylor Scott & White All Saints Medical Center-Fort Wor				X					X		X	X	X	X	X	X	X		X	X	X	X	X	X	X	R	2	2
365000	Muenster Memorial Hospital			X	X	X						X			X												X	1	1
367000	Reeves County Hospital				X										X												X	2	1
368000	Refugio County Memorial Hospital District				X							X			X												X	1	1
369000	Little River Healthcare				X	X				X		X		X	X		X	X									X	1	1
370000	Mission Regional Medical Center			X	X										X												M	1	1
374000	East Texas Medical Center-Athens				X					X		X		X	X		X			X	X	X			X	X	R	1	1
383000	Hill Regional Hospital				X							X	X		X		X			X		X				X	M	1	1
384000	Lyndon B Johnson General Hospital	A			X										X												R	1	1
388000	Martin County Hospital District				X	X			X			X		X					X								X	1	1
389000	Baptist Hospitals of Southeast Texas			X	X										X												M	1	1
390000	Park Plaza Hospital				X					X		X		X	X					X		X	X		X	X	M	1	1
392000	Nacogdoches Medical Center				X										X												M	1	1
393000	Starr County Memorial Hospital				X										X												R	1	1
394000	Medical Center-Lewisville				X				X	X		X	X	X	X		X	X		X	X	X			X	X	M	1	1
395000	Hansford County Hospital				X	X			X						X												X	1	1
396001	Nix Specialty Health Center		X	X																							X	1	8
396002	Nix Health Care System		X		X					X		X	X	X	X			X		X	X	X			X		R	1	1
397000	Rollins Brooks Community Hospital				X	X									X												X	1	1
397001	Metroplex Hospital				X										X												R	1	1
398000	CHRISTUS Spohn Hospital Corpus Christi	X	X		X										X												M	1	1
398001	CHRISTUS Spohn Hospital Corpus Christi-Shoreline			X	X					X		X	X	X	X	X			X	X	X	X	X	X	X	X	R	1	1
398002	CHRISTUS Spohn Hospital Corpus Christi-South				X							X		X	X		X	X	X	X	X						R	1	1
400000	Valley Baptist Medical Center	X		X	X				X	X		X	X	X	X	X	X	X	X	X	X		X	X	X	X	M	1	1
401000	East Texas Medical Center-Fairfield				X							X	X	X	X					X							R	1	1
405000	Houston Methodist San Jacinto Hospital		X	X	X	X				X		X		X	X	X	X			X	X	X	X	X	X	X	R	1	1
406000	Peterson Regional Medical Center				X					X		X	X	X	X		X			X	X				X	X	M	1	1
407000	Memorial Hermann Southwest Hospital			X	X				X	X		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	M	1	1
409000	John Peter Smith Hospital	X	X		X	X			X						X												M	2	2
410000	East Texas Medical Center				X										X												R	1	1
411000	East Texas Medical Center-Quitman				X					X		X		X	X							X					X	1	1
416000	East Texas Medical Center-Jacksonville				X							X		X	X		X			X		X			X		R	1	1
417000	United Regional Health Care System	X			X				X	X		X		X	X	X	X		X	X	X		X		X	X	M	6	6
420000	Hereford Regional Medical Center				X							X			X		X										R	1	1
422000	Texas Health Arlington Memorial Hospital			X	X							X		X	X	X	X	X		X	X	X	X		X	X	M	2	2
424000	Lake Granbury Medical Center				X										X												R	1	1
424500	Seton Smithville Regional Hospital				X					X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	R	1	1
425000	Odessa Regional Medical Center				X										X												M	1	1
426000	El Campo Memorial Hospital				X	X				X		X	X	X	X	X				X	X	X			X	X	R	1	1
427000	Medina Regional Hospital				X										X												X	1	1
428000	Throckmorton County Memorial Hospital			X	X	X			X						X											X	X	1	1
429001	CHRISTUS Spohn Hospital-Beeville				X				X	X		X			X		X									X	M	1	1
430000	Stephens Memorial Hospital				X	X						X	X					X		X						X	R	2	2
431000	Texas Health Presbyterian Hospital Dallas	X		X	X				X	X		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	R	2	2
433000	Connally Memorial Medical Center				X	X			X	X		X	X	X	X		X	X		X	X	X			X		R	1	1
436000	Brazosport Regional Health System				X					X		X			X												R	1	1
437000	North Hills Hospital				X					X		X	X	X	X	X			X	X	X	X		X	X	X	M	1	1
438000	East Texas Medical Center-Pittsburg				X					X		X		X	X					X		X					X	1	2
439000	Cogdell Memorial Hospital				X							X			X		X	X		X					X		R	1	1
441000	Frio Regional Hospital				X	X									X		X									X	R	1	1
442000	Bayside Community Hospital				X										X												X	1	1
444001	CHRISTUS St Elizabeth Hospital				X				X	X		X		X	X	X	X			X		X		X	X	X	R	7	7
446001	Christus Mother Frances Hospital Winnsboro				X					X		X	X	X	X						X	X	X		X		X	1	1
448001	UT Southwestern University Hospital-St Paul	A		X	X	X	X		X	X		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	M	1	1
449000	Dallas Medical Center				X					X		X	X	X	X		X	X	X	X		X	X		X		R	1	1
452000	Midland Memorial Hospital				X					X		X			X					X				X	X	X	R	1	1
453000	DeTar Hospital-Navarro			X	X	X									X												M	2	2
453001	DeTar Hospital-North		X		X				X						X												M	2	2
457000	Hemphill County Hospital				X	X						X		X	X											X	R	1	1
458001	East Houston Regional Medical Center				X					X		X	X	X	X		X			X	X						R	1	1
459000	Ben Taub General Hospital	A	X		X										X												M	1	1
459001	Quentin Mease Community Hospital	A		X		X									X												X	1	1
462000	Val Verde Regional Medical Center			X	X					X		X			X		X			X					X	X	R	1	1
464002	Medical Center-Southeast Texas		X	X	X				X	X		X	X	X	X	X	X		X	X	X	X	X	X	X	X	M	1	1
465000	Covenant Medical Center			X	X					X		X	X	X	X	X	X	X	X	X	X	X		X	X	X	M	1	1
466000	Memorial Medical Center-Livingston				X				X			X	X	X	X		X	X	X	X	X	X	X		X	X	R	1	1
468000	Ward Memorial Hospital				X																					X	X	1	1
469000	Texas Health Harris Methodist Hospital Azle				X							X	X	X	X		X			X							R	2	2
471000	Rolling Plains Memorial Hospital				X							X			X		X			X						X	R	1	1
474000	Parkland Memorial Hospital	A			X					X		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	R	1	1
476000	Baylor Scott & White Medical Center Llano				X							X	X	X	X	X	X	X		X	X	X	X		X	X	R	6	6
477000	Plaza Medical Center-Fort Worth	X		X	X					X		X			X	X				X					X	X	M	1	1
478000	Memorial Hospital			X	X					X		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	M	1	1
480000	Knapp Medical Center				X				X	X		X	X	X	X	X	X	X	X	X	X	X			X		M	1	1
481000	Woodland Heights Medical Center				X										X												M	1	1
484000	East Texas Medical Center-Carthage				X				X						X												R	1	1
485000	Yoakum County Hospital			X	X	X			X								X										X	1	1
487000	Memorial Medical Center				X	X			X	X		X	X		X		X	X	X	X	X					X	X	2	1
488000	Driscoll Childrens Hospital	X			X				C	X		X		X	X	X				X	X		X		X	X	X	2	2
490000	Electra Memorial Hospital				X										X												X	1	1
495001	Comanche County Medical Center			X	X	X			X			X			X					X							X	1	1
497000	Seton Medical Center				X					X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	R	2	2
500000	Hendrick Medical Center			X	X	X			X	X		X	X	X	X	X	X	X	X	X		X	X	X	X	X	M	1	1
502000	Medical Center-Arlington				X					X		X	X	X	X	X	X		X	X	X			X	X	X	R	1	1
503001	St Lukes Baptist Hospital			X	X					X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	M	1	1
505000	Parkview Regional Hospital				X										X												M	1	1
506000	Baylor Scott & White Medical Center Hillcrest			X		X																					R	5	5
506001	Hillcrest Baptist Medical Center				X				X	X		X		X	X	X	X			X						X	R	6	6
508001	Conroe Regional Medical Center	X			X				X						X												M	7	7
511000	Baylor Scott & White Medical Center White Rock				X					X																X	R	1	1
513000	Baylor Scott & White Medical Center-Grapevine			X	X										X							X					R	2	2
517000	Falls Community Hospital & Clinic				X					X	X		X		X											X	R	1	1
522000	Sabine County Hospital				X	X									X												X	1	1
523000	Chillicothe Hospital				X										X												X	1	1
525000	Longview Regional Medical Center				X	X				X		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	M	1	1
527000	Lavaca Medical Center				X					X		X		X	X			X								X	X	1	1
534001	Memorial Hermann Katy Hospital				X										X												R	1	1
537000	Scott & White Medical Center Temple	A			X				X	X		X	X	X	X	X	X	X	X	X	X		X	X	X	X	M	6	6
537006	Baylor Scott & White McLane Childrens Medical Center	X			X				C						X												X	6	6
546000	Seymour Hospital				X	X									X												R	1	1
547001	Fort Duncan Regional Medical Center			X	X							X			X		X	X		X						X	M	1	1
549000	Methodist Richardson Medical Center				X					X		X			X											X	M	1	1
549001	Bush Renner				X					X		X		X	X	X	X			X		X			X	X	R	1	1
552000	Bellville St Joseph Health Center				X										X												R	2	2
556000	Central Texas Medical Center				X										X												R	1	1
559000	Seton Highland Lakes Hospital				X					X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	2
560000	Rice Medical Center				X																				X		X	1	1
568000	Knox County Hospital				X										X											X	R	6	6
569000	Tyler County Hospital				X										X												R	1	1
571000	Shamrock General Hospital				X										X												X	6	6
572000	Haskell Memorial Hospital				X										X												X	1	1
574001	Palacios Community Medical Center				X	X									X												X	7	7
597000	Seton Edgar B Davis Hospital				X					X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	2	2
601000	Rio Grande Regional Hospital				X										X												R	1	1
602000	St Davids South Austin Hospital				X										X												M	1	1
606000	Cypress Fairbanks Medical Center				X				X			X	X	X	X	X	X			X	X	X	X		X	X	R	1	1
608000	Round Rock Medical Center			X	X					X		X	X	X	X	X	X		X	X	X		X		X	X	M	1	1
609001	Memorial Hermann Sugar Land				X					X		X								X							R	1	1
615000	Memorial Hermann The Woodlands Hospital			X	X				X	X		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	R	1	1
625000	Baylor Scott & White Medical Center Lake Pointe				X										X												M	1	1
627000	Texas Health Harris Methodist Hospital-Southwest Fort W			X	X					X		X	X	X	X	X	X		X	X	X	X	X		X		M	2	2
629001	Palestine Regional Medical Center			X	X				X	X		X		X	X	X	X			X		X			X		R	1	1
631000	Muleshoe Area Medical Center				X										X												X	1	1
634000	Childrens Hospital of San Antonio			X	X				C				X		X		X			X	X	X	X		X		X	1	1
640000	Hamilton General Hospital				X							X		X													R	2	2
647000	Baptist Emergency Hospital Thousand Oaks				X										X												R	2	2
649000	St Davids Rehab Center			X																							X	1	1
654000	Golden Plains Community Hospital				X										X		X			X							X	1	1
660000	HEALTHSOUTH Rehab Hospital-Arlington			X																							X	1	8
664000	Texas Health Presbyterian Hospital-Plano			X	X				X	X		X	X	X	X	X	X		X	X	X	X	X	X	X	X	M	2	2
666000	Stonewall Memorial Hospital				X	X									X							X					X	1	1
674000	TOPS Surgical Specialty Hospital				X							X	X	X	X	X	X	X	X	X	X	X	X		X	X	R	1	1
675000	Kingwood Medical Center			X	X				X																		M	1	1
677001	North Central Baptist Hospital				X					X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	R	1	1
679000	Burleson St Joseph Health Center-Caldwell				X	X				X					X											X	X	7	7
680000	Kindred Rehab Hospital Clear Lake			X																						X	X	2	2
681001	Methodist Ambulatory Surgery Hospital-Northwest				X								X		X			X		X	X	X	X				R	7	7
681400	Kell West Regional Hospital				X										X												R	1	2
685000	HEALTHSOUTH Rehab Hospital-Wichita Falls			X																							X	1	8
686000	Covenant Childrens Hospital				X				C	X				X	X	X	X	X	X	X	X	X		X	X	X	X	1	1
689401	CHRISTUS Spohn Hospital Alice		X	X	X				X	X		X	X	X	X		X		X	X							R	1	1
